vegetation,식물쉼표 초목,Once the vegetation has started to recover쉼표 insects will travel into the newly regenerated area.,일단 식물이 회복을 시작하면쉼표 곤충들이 새롭게 재생성된 지역으로 이동하기 마련이다.,Once the _ has started to recover쉼표 insects will travel into the newly regenerated area.,,vegetation
impression,인상쉼표 감명,Bad first impressions are hard to forget.,나쁜 첫인상은 잊기가 어렵다.,Bad first _ are hard to forget.,,impressions
distort,왜곡하다,Distorted data have no impact on the evaluation.,왜곡된 자료는 평가에 아무런 영향을 미치지 않는다.,_ data have no impact on the evaluation.,,Distorted
manure,거름쉼표 거름을 주다,His business was selling manure to farmers.,그의 사업은 농부들에게 거름을 파는 일이었다.,His business was selling _ to farmers.,,manure
rational,합리적인,I따옴표m convinced that my decision not to eat meat is rational.,나는 고기를 먹지 않는 내 결정이 합리적이라고 확신한다.,I따옴표m convinced that my decision not to eat meat is _.,,rational
location,위치쉼표 야외 촬영(지),Her apartment is in really good location.,그녀의 아파트는 정말 좋은 위치에 있다.,Her apartment is in really good _.,,location
aggressive,공격적인,Aggressive behavior by young students is a major problem needing proper intervention.,어린 학생들의 공격적인 행동은 적절한 간섭을 필요로 하는 중요한 문제이다.,_ behavior by young students is a major problem needing proper intervention.,,Aggressive
politician,정치인,As a politician쉼표 she knows how to manipulate public opinion.,정치인으로서쉼표 그녀는 여론을 조종하는 법을 안다.,As a _쉼표 she knows how to manipulate public opinion.,,politician
goods,상품쉼표 재산,The dificit for U.S. goods trade last month was the highest ever recorded.,지난달 미국의 물품 무역 적자는 기록이 시작된 이래 최고치였다.,The dificit for U.S. _ trade last month was the highest ever recorded.,,goods
mineral,광물쉼표 미네랄,Under stressful conditions쉼표 the body needs vitamins and minerals more than ever.,스트레스를 받는 조건 하에서 몸은 비타민과 미네랄이 그 어느 때보다 더 필요하다.,Under stressful conditions쉼표 the body needs vitamins and _ more than ever.,,minerals
insurance,보험쉼표 보호수단,The insurance policy covers sudden death or disablement.,그 보험 약관은 갑작스런 사망이나 장애를 보장한다.,The _ policy covers sudden death or disablement.,,insurance
interpretation,해석쉼표 통역,People have different interpretations of the painting.,사람들은 그 그림에 대해 서로 다른 해석을 가지고 있다.,People have different _ of the painting.,,interpretations
